Battery storage — Escalation ratio,commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,27% (n=77),18% (n=99),26% (n=213),30% (n=128),7% (n=60),24% (n=71),27% (n=77),,24% (n=726)
PROCUREMENT,32% (n=50),25% (n=119),47% (n=104),46% (n=61),7% (n=27),26% (n=172),40% (n=85),,33% (n=619)
CONSTRUCTION,n=4,19% (n=31),27% (n=15),42% (n=19),n=4,22% (n=125),n=5,,25% (n=203)
SOFTWARE_CONTROLS,4% (n=28),13% (n=69),30% (n=138),16% (n=43),3% (n=115),21% (n=29),30% (n=165),,20% (n=587)
GRID_CONNECTION,20% (n=117),26% (n=86),24% (n=99),29% (n=218),4% (n=48),23% (n=22),33% (n=97),,25% (n=687)
INTEGRATION_COMMISSIONING,n=7,19% (n=103),42% (n=79),21% (n=58),5% (n=59),25% (n=89),31% (n=156),,25% (n=552)
SITING,16% (n=19),19% (n=31),23% (n=35),33% (n=49),n=9,17% (n=99),n=1,,21% (n=243)
COMMUNITY_ENGAGEMENT,5% (n=19),13% (n=68),n=1,48% (n=21),n=2,9% (n=11),n=0,,17% (n=122)
FINANCING,28% (n=193),20% (n=44),n=7,54% (n=35),0% (n=10),n=9,n=1,,29% (n=299)
OPERATIONS,18% (n=84),23% (n=53),25% (n=169),8% (n=12),6% (n=77),22% (n=55),12% (n=26),,19% (n=476)
ALL,23% (n=275),17% (n=323),27% (n=339),30% (n=299),4% (n=180),21% (n=284),29% (n=217),,23% (n=1918)
