Battery storage — Occurrence (count),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,79,100,224,128,61,73,78,174,918
PROCUREMENT,51,120,105,62,27,173,86,100,725
CONSTRUCTION,4,31,15,19,4,126,5,43,248
SOFTWARE_CONTROLS,32,71,146,43,116,29,167,141,745
GRID_CONNECTION,125,89,106,219,50,22,100,284,995
INTEGRATION_COMMISSIONING,7,107,79,58,60,89,159,130,690
SITING,19,31,35,49,9,101,1,50,296
COMMUNITY_ENGAGEMENT,19,69,1,21,2,11,0,43,166
FINANCING,206,44,8,35,12,9,1,90,405
OPERATIONS,97,54,176,12,81,55,26,256,757
ALL,295,329,355,300,185,286,221,624,2597
