Battery storage — Occurrence (%),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,8.6%,10.9%,24.4%,13.9%,6.6%,8.0%,8.5%,19.0%,918
PROCUREMENT,7.0%,16.6%,14.5%,8.6%,3.7%,23.9%,11.9%,13.8%,725
CONSTRUCTION,1.6%,12.5%,6.0%,7.7%,1.6%,50.8%,2.0%,17.3%,248
SOFTWARE_CONTROLS,4.3%,9.5%,19.6%,5.8%,15.6%,3.9%,22.4%,18.9%,745
GRID_CONNECTION,12.6%,8.9%,10.7%,22.0%,5.0%,2.2%,10.1%,28.5%,995
INTEGRATION_COMMISSIONING,1.0%,15.5%,11.4%,8.4%,8.7%,12.9%,23.0%,18.8%,690
SITING,6.4%,10.5%,11.8%,16.6%,3.0%,34.1%,0.3%,16.9%,296
COMMUNITY_ENGAGEMENT,11.4%,41.6%,0.6%,12.7%,1.2%,6.6%,0.0%,25.9%,166
FINANCING,50.9%,10.9%,2.0%,8.6%,3.0%,2.2%,0.2%,22.2%,405
OPERATIONS,12.8%,7.1%,23.2%,1.6%,10.7%,7.3%,3.4%,33.8%,757
ALL,11.4%,12.7%,13.7%,11.6%,7.1%,11.0%,8.5%,24.0%,2597
