Bioenergy — Escalation ratio,commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,31% (n=48),0% (n=12),13% (n=86),36% (n=22),6% (n=18),25% (n=20),n=8,,20% (n=214)
PROCUREMENT,29% (n=35),n=8,5% (n=40),29% (n=14),n=4,35% (n=23),n=2,,20% (n=126)
CONSTRUCTION,n=1,n=3,n=7,n=4,n=0,25% (n=16),n=0,,29% (n=31)
SOFTWARE_CONTROLS,n=0,n=1,n=3,n=0,n=5,n=2,n=1,,8% (n=12)
GRID_CONNECTION,n=4,n=0,n=2,n=9,n=1,n=0,n=0,,25% (n=16)
INTEGRATION_COMMISSIONING,n=0,n=2,24% (n=17),n=6,n=6,n=6,n=7,,18% (n=44)
SITING,17% (n=18),n=2,10% (n=10),24% (n=17),n=3,8% (n=12),n=0,,15% (n=62)
COMMUNITY_ENGAGEMENT,n=3,n=6,n=0,n=9,n=2,n=0,n=0,,20% (n=20)
FINANCING,41% (n=92),n=4,n=3,29% (n=21),n=1,n=3,n=0,,39% (n=124)
OPERATIONS,10% (n=10),n=3,9% (n=22),n=3,n=3,n=1,n=2,,11% (n=44)
ALL,39% (n=123),12% (n=26),12% (n=91),32% (n=63),7% (n=28),22% (n=36),n=8,,25% (n=375)
