Bioenergy — Occurrence (count),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,49,12,88,22,18,20,8,111,329
PROCUREMENT,35,9,41,14,4,23,2,41,169
CONSTRUCTION,1,4,7,4,0,16,0,13,46
SOFTWARE_CONTROLS,0,1,3,0,5,2,1,0,12
GRID_CONNECTION,4,0,2,9,1,0,0,3,20
INTEGRATION_COMMISSIONING,0,3,17,6,6,6,7,18,63
SITING,18,3,10,17,3,12,0,33,96
COMMUNITY_ENGAGEMENT,3,6,0,9,2,0,0,15,35
FINANCING,95,4,3,21,1,3,0,45,172
OPERATIONS,10,3,22,3,3,1,2,27,71
ALL,127,27,93,63,29,36,8,177,561
