Bioenergy — Occurrence (%),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,14.9%,3.6%,26.7%,6.7%,5.5%,6.1%,2.4%,33.7%,329
PROCUREMENT,20.7%,5.3%,24.3%,8.3%,2.4%,13.6%,1.2%,24.3%,169
CONSTRUCTION,2.2%,8.7%,15.2%,8.7%,0.0%,34.8%,0.0%,28.3%,46
SOFTWARE_CONTROLS,0.0%,8.3%,25.0%,0.0%,41.7%,16.7%,8.3%,0.0%,12
GRID_CONNECTION,20.0%,0.0%,10.0%,45.0%,5.0%,0.0%,0.0%,15.0%,20
INTEGRATION_COMMISSIONING,0.0%,4.8%,27.0%,9.5%,9.5%,9.5%,11.1%,28.6%,63
SITING,18.8%,3.1%,10.4%,17.7%,3.1%,12.5%,0.0%,34.4%,96
COMMUNITY_ENGAGEMENT,8.6%,17.1%,0.0%,25.7%,5.7%,0.0%,0.0%,42.9%,35
FINANCING,55.2%,2.3%,1.7%,12.2%,0.6%,1.7%,0.0%,26.2%,172
OPERATIONS,14.1%,4.2%,31.0%,4.2%,4.2%,1.4%,2.8%,38.0%,71
ALL,22.6%,4.8%,16.6%,11.2%,5.2%,6.4%,1.4%,31.6%,561
