Corpus — Escalation ratio,commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,30% (n=568),16% (n=421),22% (n=1057),33% (n=533),12% (n=583),19% (n=439),23% (n=315),,22% (n=3917)
PROCUREMENT,30% (n=345),21% (n=423),28% (n=408),39% (n=274),14% (n=133),25% (n=704),30% (n=233),,27% (n=2521)
CONSTRUCTION,35% (n=26),12% (n=120),27% (n=71),29% (n=58),15% (n=20),21% (n=512),12% (n=26),,20% (n=833)
SOFTWARE_CONTROLS,17% (n=174),14% (n=513),22% (n=550),32% (n=206),12% (n=777),14% (n=161),21% (n=751),,18% (n=3132)
GRID_CONNECTION,27% (n=443),20% (n=435),28% (n=444),40% (n=909),20% (n=447),26% (n=84),30% (n=375),,29% (n=3137)
INTEGRATION_COMMISSIONING,24% (n=29),16% (n=459),35% (n=235),32% (n=148),9% (n=249),23% (n=269),23% (n=566),,22% (n=1956)
SITING,23% (n=167),16% (n=160),26% (n=184),30% (n=314),15% (n=123),16% (n=401),0% (n=16),,21% (n=1365)
COMMUNITY_ENGAGEMENT,20% (n=359),10% (n=675),n=5,31% (n=145),0% (n=30),8% (n=48),0% (n=17),,15% (n=1279)
FINANCING,36% (n=1252),16% (n=228),26% (n=39),44% (n=241),10% (n=94),40% (n=40),n=8,,33% (n=1902)
OPERATIONS,18% (n=338),17% (n=282),21% (n=500),35% (n=75),11% (n=325),15% (n=180),14% (n=98),,18% (n=1798)
ALL,30% (n=2161),14% (n=2036),23% (n=1595),38% (n=1599),12% (n=1403),20% (n=1241),22% (n=931),,23% (n=10967)
