Corpus — Occurrence (count),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,596,431,1094,540,594,441,320,1511,5531
PROCUREMENT,356,428,415,280,134,708,237,634,3194
CONSTRUCTION,26,123,71,58,20,516,27,221,1064
SOFTWARE_CONTROLS,188,524,565,208,792,161,757,937,4133
GRID_CONNECTION,470,445,457,919,465,84,381,1045,4268
INTEGRATION_COMMISSIONING,29,468,236,152,256,269,572,468,2453
SITING,174,163,185,315,125,406,17,406,1792
COMMUNITY_ENGAGEMENT,364,681,5,145,30,48,17,380,1670
FINANCING,1319,232,42,241,99,40,8,644,2625
OPERATIONS,364,289,512,76,336,181,98,949,2805
ALL,2259,2070,1640,1615,1443,1248,943,4164,15388
