Corpus — Occurrence (%),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,10.8%,7.8%,19.8%,9.8%,10.7%,8.0%,5.8%,27.3%,5531
PROCUREMENT,11.1%,13.4%,13.0%,8.8%,4.2%,22.2%,7.4%,19.8%,3194
CONSTRUCTION,2.4%,11.6%,6.7%,5.5%,1.9%,48.5%,2.5%,20.8%,1064
SOFTWARE_CONTROLS,4.5%,12.7%,13.7%,5.0%,19.2%,3.9%,18.3%,22.7%,4133
GRID_CONNECTION,11.0%,10.4%,10.7%,21.5%,10.9%,2.0%,8.9%,24.5%,4268
INTEGRATION_COMMISSIONING,1.2%,19.1%,9.6%,6.2%,10.4%,11.0%,23.3%,19.1%,2453
SITING,9.7%,9.1%,10.3%,17.6%,7.0%,22.7%,0.9%,22.7%,1792
COMMUNITY_ENGAGEMENT,21.8%,40.8%,0.3%,8.7%,1.8%,2.9%,1.0%,22.8%,1670
FINANCING,50.2%,8.8%,1.6%,9.2%,3.8%,1.5%,0.3%,24.5%,2625
OPERATIONS,13.0%,10.3%,18.3%,2.7%,12.0%,6.5%,3.5%,33.8%,2805
ALL,14.7%,13.5%,10.7%,10.5%,9.4%,8.1%,6.1%,27.1%,15388
