Demand response — Escalation ratio,commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,14% (n=29),0% (n=15),21% (n=34),47% (n=19),22% (n=45),33% (n=12),23% (n=26),,22% (n=180)
PROCUREMENT,20% (n=25),18% (n=22),43% (n=14),40% (n=15),n=5,35% (n=31),25% (n=28),,29% (n=140)
CONSTRUCTION,n=1,n=7,n=0,n=1,n=0,27% (n=26),n=0,,23% (n=35)
SOFTWARE_CONTROLS,9% (n=23),7% (n=56),16% (n=62),60% (n=20),14% (n=113),24% (n=17),15% (n=94),,16% (n=385)
GRID_CONNECTION,25% (n=44),22% (n=45),14% (n=43),37% (n=46),32% (n=68),n=9,30% (n=33),,27% (n=288)
INTEGRATION_COMMISSIONING,n=1,9% (n=33),28% (n=25),n=8,6% (n=32),26% (n=23),24% (n=63),,20% (n=185)
SITING,n=2,0% (n=10),n=1,n=5,n=8,31% (n=16),n=2,,27% (n=44)
COMMUNITY_ENGAGEMENT,10% (n=87),5% (n=96),n=0,n=9,0% (n=11),0% (n=10),n=5,,6% (n=218)
FINANCING,17% (n=78),8% (n=12),n=1,20% (n=20),n=6,n=2,n=1,,18% (n=120)
OPERATIONS,19% (n=73),16% (n=50),24% (n=58),33% (n=12),18% (n=78),20% (n=30),0% (n=11),,19% (n=312)
ALL,18% (n=235),8% (n=200),19% (n=113),40% (n=93),17% (n=183),22% (n=78),19% (n=104),,19% (n=1006)
