Demand response — Occurrence (count),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,30,16,37,19,45,12,26,34,219
PROCUREMENT,26,22,14,15,5,32,28,18,160
CONSTRUCTION,1,7,0,1,0,26,0,6,41
SOFTWARE_CONTROLS,23,57,62,20,114,17,95,143,531
GRID_CONNECTION,44,47,44,46,69,9,34,99,392
INTEGRATION_COMMISSIONING,1,33,26,8,32,23,63,31,217
SITING,2,10,1,5,8,16,2,1,45
COMMUNITY_ENGAGEMENT,87,96,0,9,11,10,5,63,281
FINANCING,80,12,1,20,6,2,1,25,147
OPERATIONS,75,53,58,12,78,31,11,166,484
ALL,241,203,116,93,186,79,105,378,1401
