Demand response — Occurrence (%),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,13.7%,7.3%,16.9%,8.7%,20.5%,5.5%,11.9%,15.5%,219
PROCUREMENT,16.2%,13.8%,8.8%,9.4%,3.1%,20.0%,17.5%,11.2%,160
CONSTRUCTION,2.4%,17.1%,0.0%,2.4%,0.0%,63.4%,0.0%,14.6%,41
SOFTWARE_CONTROLS,4.3%,10.7%,11.7%,3.8%,21.5%,3.2%,17.9%,26.9%,531
GRID_CONNECTION,11.2%,12.0%,11.2%,11.7%,17.6%,2.3%,8.7%,25.3%,392
INTEGRATION_COMMISSIONING,0.5%,15.2%,12.0%,3.7%,14.7%,10.6%,29.0%,14.3%,217
SITING,4.4%,22.2%,2.2%,11.1%,17.8%,35.6%,4.4%,2.2%,45
COMMUNITY_ENGAGEMENT,31.0%,34.2%,0.0%,3.2%,3.9%,3.6%,1.8%,22.4%,281
FINANCING,54.4%,8.2%,0.7%,13.6%,4.1%,1.4%,0.7%,17.0%,147
OPERATIONS,15.5%,11.0%,12.0%,2.5%,16.1%,6.4%,2.3%,34.3%,484
ALL,17.2%,14.5%,8.3%,6.6%,13.3%,5.6%,7.5%,27.0%,1401
