Distributed energy resources — Escalation ratio,commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,28% (n=71),13% (n=92),13% (n=83),38% (n=69),14% (n=133),18% (n=40),18% (n=72),,19% (n=560)
PROCUREMENT,18% (n=40),23% (n=71),17% (n=24),50% (n=26),21% (n=28),29% (n=70),30% (n=46),,26% (n=305)
CONSTRUCTION,n=5,21% (n=14),n=5,n=5,n=4,20% (n=61),n=7,,19% (n=101)
SOFTWARE_CONTROLS,24% (n=62),17% (n=219),19% (n=135),36% (n=88),17% (n=271),8% (n=36),20% (n=248),,20% (n=1059)
GRID_CONNECTION,29% (n=85),20% (n=112),29% (n=118),47% (n=220),18% (n=148),n=6,26% (n=102),,30% (n=791)
INTEGRATION_COMMISSIONING,n=8,22% (n=143),41% (n=32),39% (n=23),16% (n=81),26% (n=35),19% (n=147),,23% (n=469)
SITING,23% (n=13),15% (n=13),17% (n=12),31% (n=26),25% (n=12),29% (n=31),n=2,,25% (n=109)
COMMUNITY_ENGAGEMENT,21% (n=130),9% (n=257),n=2,32% (n=34),n=8,17% (n=12),n=9,,14% (n=452)
FINANCING,33% (n=200),12% (n=49),n=2,38% (n=66),0% (n=13),n=1,n=1,,30% (n=332)
OPERATIONS,30% (n=43),24% (n=79),17% (n=52),62% (n=16),13% (n=55),26% (n=19),27% (n=22),,24% (n=286)
ALL,24% (n=389),13% (n=615),22% (n=207),42% (n=343),15% (n=376),19% (n=141),20% (n=263),,21% (n=2334)
