Distributed energy resources — Occurrence (count),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,74,95,91,70,133,40,73,134,710
PROCUREMENT,40,72,26,27,28,70,47,49,359
CONSTRUCTION,5,14,5,5,4,62,7,17,119
SOFTWARE_CONTROLS,64,225,139,89,277,36,249,266,1345
GRID_CONNECTION,90,113,120,223,153,6,103,217,1025
INTEGRATION_COMMISSIONING,8,145,32,24,83,35,147,71,545
SITING,13,13,12,26,12,32,2,24,134
COMMUNITY_ENGAGEMENT,133,260,2,34,8,12,9,94,552
FINANCING,212,51,2,66,13,1,1,62,408
OPERATIONS,47,79,55,16,58,19,22,99,395
ALL,406,623,216,347,386,142,265,651,3036
