Distributed energy resources — Occurrence (%),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,10.4%,13.4%,12.8%,9.9%,18.7%,5.6%,10.3%,18.9%,710
PROCUREMENT,11.1%,20.1%,7.2%,7.5%,7.8%,19.5%,13.1%,13.6%,359
CONSTRUCTION,4.2%,11.8%,4.2%,4.2%,3.4%,52.1%,5.9%,14.3%,119
SOFTWARE_CONTROLS,4.8%,16.7%,10.3%,6.6%,20.6%,2.7%,18.5%,19.8%,1345
GRID_CONNECTION,8.8%,11.0%,11.7%,21.8%,14.9%,0.6%,10.0%,21.2%,1025
INTEGRATION_COMMISSIONING,1.5%,26.6%,5.9%,4.4%,15.2%,6.4%,27.0%,13.0%,545
SITING,9.7%,9.7%,9.0%,19.4%,9.0%,23.9%,1.5%,17.9%,134
COMMUNITY_ENGAGEMENT,24.1%,47.1%,0.4%,6.2%,1.4%,2.2%,1.6%,17.0%,552
FINANCING,52.0%,12.5%,0.5%,16.2%,3.2%,0.2%,0.2%,15.2%,408
OPERATIONS,11.9%,20.0%,13.9%,4.1%,14.7%,4.8%,5.6%,25.1%,395
ALL,13.4%,20.5%,7.1%,11.4%,12.7%,4.7%,8.7%,21.4%,3036
