Electric vehicles — Escalation ratio,commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,16% (n=38),18% (n=39),18% (n=51),43% (n=42),3% (n=29),12% (n=48),24% (n=25),,19% (n=272)
PROCUREMENT,16% (n=25),19% (n=52),43% (n=28),51% (n=51),n=5,27% (n=96),28% (n=18),,30% (n=275)
CONSTRUCTION,n=1,6% (n=18),n=1,n=6,n=4,21% (n=62),n=0,,18% (n=92)
SOFTWARE_CONTROLS,24% (n=25),12% (n=34),29% (n=35),27% (n=11),6% (n=34),6% (n=16),14% (n=66),,16% (n=221)
GRID_CONNECTION,30% (n=40),28% (n=29),18% (n=28),45% (n=77),8% (n=13),35% (n=17),20% (n=20),,32% (n=224)
INTEGRATION_COMMISSIONING,n=0,9% (n=32),23% (n=13),n=4,8% (n=12),26% (n=19),12% (n=41),,14% (n=121)
SITING,30% (n=27),22% (n=45),18% (n=11),46% (n=41),n=7,12% (n=60),n=3,,24% (n=194)
COMMUNITY_ENGAGEMENT,15% (n=26),11% (n=87),n=0,38% (n=13),n=2,n=7,n=3,,15% (n=138)
FINANCING,29% (n=85),n=6,n=1,64% (n=11),n=2,n=1,n=1,,30% (n=107)
OPERATIONS,20% (n=50),9% (n=34),20% (n=35),n=4,6% (n=18),8% (n=12),7% (n=15),,14% (n=168)
ALL,24% (n=199),12% (n=189),23% (n=88),46% (n=140),4% (n=78),20% (n=143),14% (n=76),,22% (n=913)
