Electric vehicles — Occurrence (count),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,39,40,51,42,30,48,26,82,358
PROCUREMENT,26,52,28,51,5,96,18,50,326
CONSTRUCTION,1,18,1,6,4,62,0,18,110
SOFTWARE_CONTROLS,27,36,35,11,34,16,68,78,305
GRID_CONNECTION,41,29,28,77,13,17,21,58,284
INTEGRATION_COMMISSIONING,0,32,13,4,12,19,42,34,156
SITING,27,45,11,41,8,60,3,35,230
COMMUNITY_ENGAGEMENT,26,87,0,13,2,7,3,37,175
FINANCING,87,6,1,11,4,1,1,20,131
OPERATIONS,51,35,35,4,19,12,15,86,257
ALL,203,191,88,140,82,143,78,292,1217
