Electric vehicles — Occurrence (%),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,10.9%,11.2%,14.2%,11.7%,8.4%,13.4%,7.3%,22.9%,358
PROCUREMENT,8.0%,16.0%,8.6%,15.6%,1.5%,29.4%,5.5%,15.3%,326
CONSTRUCTION,0.9%,16.4%,0.9%,5.5%,3.6%,56.4%,0.0%,16.4%,110
SOFTWARE_CONTROLS,8.9%,11.8%,11.5%,3.6%,11.1%,5.2%,22.3%,25.6%,305
GRID_CONNECTION,14.4%,10.2%,9.9%,27.1%,4.6%,6.0%,7.4%,20.4%,284
INTEGRATION_COMMISSIONING,0.0%,20.5%,8.3%,2.6%,7.7%,12.2%,26.9%,21.8%,156
SITING,11.7%,19.6%,4.8%,17.8%,3.5%,26.1%,1.3%,15.2%,230
COMMUNITY_ENGAGEMENT,14.9%,49.7%,0.0%,7.4%,1.1%,4.0%,1.7%,21.1%,175
FINANCING,66.4%,4.6%,0.8%,8.4%,3.1%,0.8%,0.8%,15.3%,131
OPERATIONS,19.8%,13.6%,13.6%,1.6%,7.4%,4.7%,5.8%,33.5%,257
ALL,16.7%,15.7%,7.2%,11.5%,6.7%,11.8%,6.4%,24.0%,1217
