Grid stability — Escalation ratio,commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,30% (n=30),12% (n=32),31% (n=74),46% (n=56),17% (n=58),25% (n=16),45% (n=31),,30% (n=297)
PROCUREMENT,29% (n=17),19% (n=26),39% (n=33),61% (n=23),18% (n=11),35% (n=23),44% (n=18),,36% (n=151)
CONSTRUCTION,n=0,n=1,n=3,n=4,n=0,27% (n=11),n=1,,30% (n=20)
SOFTWARE_CONTROLS,4% (n=23),14% (n=56),34% (n=79),33% (n=24),13% (n=85),17% (n=12),33% (n=79),,23% (n=358)
GRID_CONNECTION,21% (n=53),20% (n=71),42% (n=113),50% (n=149),25% (n=87),n=9,41% (n=74),,37% (n=556)
INTEGRATION_COMMISSIONING,n=5,11% (n=36),55% (n=22),20% (n=20),10% (n=20),25% (n=12),40% (n=53),,27% (n=168)
SITING,n=8,0% (n=10),n=6,25% (n=12),20% (n=10),10% (n=10),n=0,,18% (n=56)
COMMUNITY_ENGAGEMENT,12% (n=25),10% (n=29),n=0,n=5,n=0,n=0,n=0,,12% (n=59)
FINANCING,27% (n=96),17% (n=18),n=3,67% (n=24),n=8,n=0,n=1,,31% (n=150)
OPERATIONS,6% (n=18),n=8,20% (n=20),n=6,17% (n=12),n=5,n=3,,18% (n=72)
ALL,23% (n=149),15% (n=137),34% (n=151),50% (n=177),17% (n=139),22% (n=41),36% (n=101),,29% (n=895)
