Grid stability — Occurrence (count),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,30,33,77,57,60,16,31,75,379
PROCUREMENT,17,26,33,26,11,23,18,35,189
CONSTRUCTION,0,1,3,4,0,11,1,9,29
SOFTWARE_CONTROLS,25,56,81,25,89,12,79,96,463
GRID_CONNECTION,57,72,116,152,93,9,74,137,710
INTEGRATION_COMMISSIONING,5,36,22,20,21,12,53,36,205
SITING,8,11,6,12,10,10,0,11,68
COMMUNITY_ENGAGEMENT,25,29,0,5,0,0,0,14,73
FINANCING,99,19,3,24,8,0,1,27,181
OPERATIONS,20,9,20,6,12,5,3,29,104
ALL,153,140,156,181,145,41,101,256,1173
