Grid stability — Occurrence (%),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,7.9%,8.7%,20.3%,15.0%,15.8%,4.2%,8.2%,19.8%,379
PROCUREMENT,9.0%,13.8%,17.5%,13.8%,5.8%,12.2%,9.5%,18.5%,189
CONSTRUCTION,0.0%,3.4%,10.3%,13.8%,0.0%,37.9%,3.4%,31.0%,29
SOFTWARE_CONTROLS,5.4%,12.1%,17.5%,5.4%,19.2%,2.6%,17.1%,20.7%,463
GRID_CONNECTION,8.0%,10.1%,16.3%,21.4%,13.1%,1.3%,10.4%,19.3%,710
INTEGRATION_COMMISSIONING,2.4%,17.6%,10.7%,9.8%,10.2%,5.9%,25.9%,17.6%,205
SITING,11.8%,16.2%,8.8%,17.6%,14.7%,14.7%,0.0%,16.2%,68
COMMUNITY_ENGAGEMENT,34.2%,39.7%,0.0%,6.8%,0.0%,0.0%,0.0%,19.2%,73
FINANCING,54.7%,10.5%,1.7%,13.3%,4.4%,0.0%,0.6%,14.9%,181
OPERATIONS,19.2%,8.7%,19.2%,5.8%,11.5%,4.8%,2.9%,27.9%,104
ALL,13.0%,11.9%,13.3%,15.4%,12.4%,3.5%,8.6%,21.8%,1173
