Hybrid technologies — Escalation ratio,commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,21% (n=42),17% (n=42),24% (n=111),36% (n=42),8% (n=36),9% (n=32),14% (n=36),,20% (n=341)
PROCUREMENT,27% (n=22),9% (n=45),35% (n=34),29% (n=17),10% (n=10),16% (n=58),38% (n=13),,21% (n=199)
CONSTRUCTION,n=3,7% (n=15),n=6,n=8,n=1,21% (n=52),n=1,,17% (n=86)
SOFTWARE_CONTROLS,n=1,12% (n=24),42% (n=33),n=6,9% (n=33),n=8,26% (n=39),,23% (n=144)
GRID_CONNECTION,18% (n=22),36% (n=28),31% (n=26),37% (n=46),0% (n=12),18% (n=11),37% (n=30),,30% (n=175)
INTEGRATION_COMMISSIONING,n=2,12% (n=48),42% (n=19),50% (n=12),6% (n=17),29% (n=28),25% (n=40),,23% (n=166)
SITING,0% (n=15),24% (n=21),25% (n=28),40% (n=30),14% (n=14),18% (n=65),n=0,,22% (n=173)
COMMUNITY_ENGAGEMENT,n=6,17% (n=24),n=0,60% (n=10),n=1,n=6,n=0,,21% (n=47)
FINANCING,30% (n=64),5% (n=19),n=4,64% (n=11),n=7,n=6,n=1,,29% (n=112)
OPERATIONS,32% (n=19),12% (n=25),31% (n=80),n=4,15% (n=34),21% (n=28),n=7,,24% (n=197)
ALL,22% (n=107),16% (n=146),26% (n=140),37% (n=90),8% (n=74),18% (n=118),24% (n=62),,22% (n=737)
