Hybrid technologies — Occurrence (count),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,43,42,116,43,38,33,37,152,504
PROCUREMENT,23,45,34,17,10,59,14,64,266
CONSTRUCTION,3,15,6,8,1,53,1,29,117
SOFTWARE_CONTROLS,1,24,35,6,33,8,40,58,206
GRID_CONNECTION,22,28,26,47,12,11,31,90,268
INTEGRATION_COMMISSIONING,2,49,19,12,17,28,41,54,223
SITING,15,21,29,30,14,67,0,41,218
COMMUNITY_ENGAGEMENT,6,24,0,10,1,6,0,25,72
FINANCING,65,19,4,11,7,6,1,42,155
OPERATIONS,20,25,82,4,35,28,7,114,315
ALL,109,147,146,91,76,120,64,308,1063
