Hybrid technologies — Occurrence (%),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,8.5%,8.3%,23.0%,8.5%,7.5%,6.5%,7.3%,30.2%,504
PROCUREMENT,8.6%,16.9%,12.8%,6.4%,3.8%,22.2%,5.3%,24.1%,266
CONSTRUCTION,2.6%,12.8%,5.1%,6.8%,0.9%,45.3%,0.9%,24.8%,117
SOFTWARE_CONTROLS,0.5%,11.7%,17.0%,2.9%,16.0%,3.9%,19.4%,28.2%,206
GRID_CONNECTION,8.2%,10.4%,9.7%,17.5%,4.5%,4.1%,11.6%,33.6%,268
INTEGRATION_COMMISSIONING,0.9%,22.0%,8.5%,5.4%,7.6%,12.6%,18.4%,24.2%,223
SITING,6.9%,9.6%,13.3%,13.8%,6.4%,30.7%,0.0%,18.8%,218
COMMUNITY_ENGAGEMENT,8.3%,33.3%,0.0%,13.9%,1.4%,8.3%,0.0%,34.7%,72
FINANCING,41.9%,12.3%,2.6%,7.1%,4.5%,3.9%,0.6%,27.1%,155
OPERATIONS,6.3%,7.9%,26.0%,1.3%,11.1%,8.9%,2.2%,36.2%,315
ALL,10.3%,13.8%,13.7%,8.6%,7.1%,11.3%,6.0%,29.0%,1063
