Hydrogen — Occurrence (count),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,90,35,116,93,32,63,21,252,702
PROCUREMENT,58,32,52,51,8,97,7,90,395
CONSTRUCTION,2,10,5,9,1,26,3,17,73
SOFTWARE_CONTROLS,0,2,10,0,7,4,13,15,51
GRID_CONNECTION,8,7,3,40,3,4,3,31,99
INTEGRATION_COMMISSIONING,1,24,22,12,7,28,18,39,151
SITING,22,14,18,69,7,35,1,67,233
COMMUNITY_ENGAGEMENT,22,32,0,27,0,2,0,51,134
FINANCING,157,8,7,12,6,4,0,91,285
OPERATIONS,12,15,25,4,7,14,2,60,139
ALL,219,98,129,186,43,134,26,433,1268
