Hydrogen — Occurrence (%),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,12.8%,5.0%,16.5%,13.2%,4.6%,9.0%,3.0%,35.9%,702
PROCUREMENT,14.7%,8.1%,13.2%,12.9%,2.0%,24.6%,1.8%,22.8%,395
CONSTRUCTION,2.7%,13.7%,6.8%,12.3%,1.4%,35.6%,4.1%,23.3%,73
SOFTWARE_CONTROLS,0.0%,3.9%,19.6%,0.0%,13.7%,7.8%,25.5%,29.4%,51
GRID_CONNECTION,8.1%,7.1%,3.0%,40.4%,3.0%,4.0%,3.0%,31.3%,99
INTEGRATION_COMMISSIONING,0.7%,15.9%,14.6%,7.9%,4.6%,18.5%,11.9%,25.8%,151
SITING,9.4%,6.0%,7.7%,29.6%,3.0%,15.0%,0.4%,28.8%,233
COMMUNITY_ENGAGEMENT,16.4%,23.9%,0.0%,20.1%,0.0%,1.5%,0.0%,38.1%,134
FINANCING,55.1%,2.8%,2.5%,4.2%,2.1%,1.4%,0.0%,31.9%,285
OPERATIONS,8.6%,10.8%,18.0%,2.9%,5.0%,10.1%,1.4%,43.2%,139
ALL,17.3%,7.7%,10.2%,14.7%,3.4%,10.6%,2.1%,34.1%,1268
