Industrial renewables — Escalation ratio,commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,27% (n=86),18% (n=28),20% (n=91),12% (n=32),12% (n=41),26% (n=43),7% (n=15),,20% (n=336)
PROCUREMENT,24% (n=29),37% (n=19),17% (n=29),n=7,14% (n=14),27% (n=44),10% (n=10),,22% (n=152)
CONSTRUCTION,n=1,n=3,n=5,n=3,n=1,29% (n=24),n=4,,20% (n=41)
SOFTWARE_CONTROLS,30% (n=10),47% (n=17),8% (n=24),n=3,8% (n=26),n=9,9% (n=23),,19% (n=112)
GRID_CONNECTION,32% (n=25),40% (n=15),n=9,41% (n=37),n=2,n=4,n=2,,36% (n=94)
INTEGRATION_COMMISSIONING,n=3,44% (n=16),n=7,n=0,0% (n=13),31% (n=16),5% (n=20),,21% (n=75)
SITING,20% (n=20),40% (n=10),23% (n=13),33% (n=21),n=6,31% (n=26),n=3,,26% (n=99)
COMMUNITY_ENGAGEMENT,n=9,15% (n=13),n=0,n=4,n=0,n=1,n=0,,33% (n=27)
FINANCING,34% (n=134),17% (n=18),n=7,64% (n=11),n=8,n=2,n=1,,34% (n=181)
OPERATIONS,13% (n=15),33% (n=15),16% (n=31),n=5,12% (n=16),n=4,n=4,,17% (n=90)
ALL,29% (n=212),25% (n=112),18% (n=107),37% (n=70),9% (n=68),27% (n=78),9% (n=35),,24% (n=682)
