Industrial renewables — Occurrence (count),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,94,28,93,34,43,43,16,197,548
PROCUREMENT,32,19,31,8,14,44,11,60,219
CONSTRUCTION,1,3,5,3,1,24,5,21,63
SOFTWARE_CONTROLS,13,17,24,3,26,9,24,61,177
GRID_CONNECTION,28,16,9,37,2,4,3,36,135
INTEGRATION_COMMISSIONING,3,16,7,1,14,16,21,37,115
SITING,24,10,13,21,6,26,3,42,145
COMMUNITY_ENGAGEMENT,9,13,0,4,0,1,0,12,39
FINANCING,144,19,7,11,9,2,1,109,302
OPERATIONS,17,15,31,5,16,4,4,76,168
ALL,227,114,109,72,70,78,37,438,1145
