Industrial renewables — Occurrence (%),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,17.2%,5.1%,17.0%,6.2%,7.8%,7.8%,2.9%,35.9%,548
PROCUREMENT,14.6%,8.7%,14.2%,3.7%,6.4%,20.1%,5.0%,27.4%,219
CONSTRUCTION,1.6%,4.8%,7.9%,4.8%,1.6%,38.1%,7.9%,33.3%,63
SOFTWARE_CONTROLS,7.3%,9.6%,13.6%,1.7%,14.7%,5.1%,13.6%,34.5%,177
GRID_CONNECTION,20.7%,11.9%,6.7%,27.4%,1.5%,3.0%,2.2%,26.7%,135
INTEGRATION_COMMISSIONING,2.6%,13.9%,6.1%,0.9%,12.2%,13.9%,18.3%,32.2%,115
SITING,16.6%,6.9%,9.0%,14.5%,4.1%,17.9%,2.1%,29.0%,145
COMMUNITY_ENGAGEMENT,23.1%,33.3%,0.0%,10.3%,0.0%,2.6%,0.0%,30.8%,39
FINANCING,47.7%,6.3%,2.3%,3.6%,3.0%,0.7%,0.3%,36.1%,302
OPERATIONS,10.1%,8.9%,18.5%,3.0%,9.5%,2.4%,2.4%,45.2%,168
ALL,19.8%,10.0%,9.5%,6.3%,6.1%,6.8%,3.2%,38.3%,1145
