Off grid — Escalation ratio,commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,14% (n=14),n=7,25% (n=61),n=3,7% (n=28),12% (n=17),n=8,,18% (n=138)
PROCUREMENT,n=7,8% (n=13),48% (n=21),n=1,n=6,13% (n=31),n=2,,22% (n=81)
CONSTRUCTION,n=0,n=1,n=3,n=1,n=1,20% (n=35),n=0,,20% (n=41)
SOFTWARE_CONTROLS,n=0,n=4,46% (n=13),n=1,0% (n=22),n=4,50% (n=12),,29% (n=56)
GRID_CONNECTION,n=6,n=5,42% (n=12),n=5,n=2,n=2,50% (n=10),,40% (n=42)
INTEGRATION_COMMISSIONING,n=0,n=5,n=9,n=1,0% (n=10),30% (n=10),40% (n=10),,27% (n=45)
SITING,n=8,n=6,28% (n=18),n=3,n=9,20% (n=45),n=0,,20% (n=89)
COMMUNITY_ENGAGEMENT,n=3,18% (n=11),n=0,n=3,n=0,n=5,n=0,,18% (n=22)
FINANCING,40% (n=20),n=6,n=1,n=4,n=4,n=4,n=0,,36% (n=39)
OPERATIONS,n=6,n=6,29% (n=38),n=1,0% (n=25),21% (n=14),n=2,,20% (n=92)
ALL,31% (n=29),12% (n=33),28% (n=69),58% (n=12),4% (n=51),18% (n=66),44% (n=16),,22% (n=276)
