Off grid — Occurrence (count),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,15,7,62,3,29,17,8,49,190
PROCUREMENT,8,13,21,1,6,31,2,30,112
CONSTRUCTION,0,1,3,1,1,35,0,15,57
SOFTWARE_CONTROLS,0,4,14,1,22,4,12,17,74
GRID_CONNECTION,6,5,12,5,2,2,10,20,62
INTEGRATION_COMMISSIONING,0,5,9,1,10,10,10,18,63
SITING,8,6,18,3,9,45,0,15,105
COMMUNITY_ENGAGEMENT,3,11,0,3,0,5,0,10,32
FINANCING,21,6,1,4,4,4,0,14,54
OPERATIONS,7,6,38,1,26,14,2,48,142
ALL,31,33,70,12,52,66,16,105,386
