Off grid — Occurrence (%),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,7.9%,3.7%,32.6%,1.6%,15.3%,8.9%,4.2%,25.8%,190
PROCUREMENT,7.1%,11.6%,18.8%,0.9%,5.4%,27.7%,1.8%,26.8%,112
CONSTRUCTION,0.0%,1.8%,5.3%,1.8%,1.8%,61.4%,0.0%,26.3%,57
SOFTWARE_CONTROLS,0.0%,5.4%,18.9%,1.4%,29.7%,5.4%,16.2%,23.0%,74
GRID_CONNECTION,9.7%,8.1%,19.4%,8.1%,3.2%,3.2%,16.1%,32.3%,62
INTEGRATION_COMMISSIONING,0.0%,7.9%,14.3%,1.6%,15.9%,15.9%,15.9%,28.6%,63
SITING,7.6%,5.7%,17.1%,2.9%,8.6%,42.9%,0.0%,14.3%,105
COMMUNITY_ENGAGEMENT,9.4%,34.4%,0.0%,9.4%,0.0%,15.6%,0.0%,31.2%,32
FINANCING,38.9%,11.1%,1.9%,7.4%,7.4%,7.4%,0.0%,25.9%,54
OPERATIONS,4.9%,4.2%,26.8%,0.7%,18.3%,9.9%,1.4%,33.8%,142
ALL,8.0%,8.5%,18.1%,3.1%,13.5%,17.1%,4.1%,27.2%,386
