Pumped hydro — Escalation ratio,commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,46% (n=39),20% (n=15),50% (n=28),31% (n=29),21% (n=29),13% (n=31),n=2,,31% (n=173)
PROCUREMENT,36% (n=11),20% (n=10),n=2,10% (n=10),n=1,12% (n=25),n=0,,20% (n=59)
CONSTRUCTION,n=1,n=7,n=1,n=4,n=2,17% (n=48),n=0,,14% (n=63)
SOFTWARE_CONTROLS,n=1,n=0,n=0,n=0,n=3,n=0,n=0,,n=4
GRID_CONNECTION,43% (n=23),n=6,n=6,53% (n=15),n=6,n=2,n=2,,37% (n=60)
INTEGRATION_COMMISSIONING,n=0,n=0,n=0,n=0,n=1,n=1,n=0,,n=2
SITING,31% (n=13),15% (n=13),62% (n=13),22% (n=40),n=9,11% (n=38),n=0,,24% (n=126)
COMMUNITY_ENGAGEMENT,n=0,n=7,n=0,n=8,n=0,n=2,n=0,,0% (n=17)
FINANCING,42% (n=64),n=6,n=2,n=4,n=8,n=3,n=0,,40% (n=87)
OPERATIONS,n=8,n=1,18% (n=11),n=0,n=2,n=1,n=1,,25% (n=24)
ALL,43% (n=84),14% (n=28),52% (n=31),36% (n=61),24% (n=34),16% (n=63),n=3,,32% (n=304)
