Pumped hydro — Occurrence (count),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,42,17,29,29,30,31,2,94,275
PROCUREMENT,12,12,2,10,1,27,0,50,115
CONSTRUCTION,1,7,1,4,2,49,0,26,90
SOFTWARE_CONTROLS,1,0,0,0,3,0,0,4,8
GRID_CONNECTION,23,8,6,17,7,2,2,35,100
INTEGRATION_COMMISSIONING,0,0,0,1,1,1,0,4,7
SITING,13,13,13,40,9,39,0,44,171
COMMUNITY_ENGAGEMENT,0,7,0,8,0,2,0,7,24
FINANCING,66,6,2,4,8,3,0,44,133
OPERATIONS,8,1,11,0,2,1,1,13,37
ALL,87,31,32,63,35,65,3,169,486
