Pumped hydro — Occurrence (%),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,15.3%,6.2%,10.5%,10.5%,10.9%,11.3%,0.7%,34.2%,275
PROCUREMENT,10.4%,10.4%,1.7%,8.7%,0.9%,23.5%,0.0%,43.5%,115
CONSTRUCTION,1.1%,7.8%,1.1%,4.4%,2.2%,54.4%,0.0%,28.9%,90
SOFTWARE_CONTROLS,12.5%,0.0%,0.0%,0.0%,37.5%,0.0%,0.0%,50.0%,8
GRID_CONNECTION,23.0%,8.0%,6.0%,17.0%,7.0%,2.0%,2.0%,35.0%,100
INTEGRATION_COMMISSIONING,0.0%,0.0%,0.0%,14.3%,14.3%,14.3%,0.0%,57.1%,7
SITING,7.6%,7.6%,7.6%,23.4%,5.3%,22.8%,0.0%,25.7%,171
COMMUNITY_ENGAGEMENT,0.0%,29.2%,0.0%,33.3%,0.0%,8.3%,0.0%,29.2%,24
FINANCING,49.6%,4.5%,1.5%,3.0%,6.0%,2.3%,0.0%,33.1%,133
OPERATIONS,21.6%,2.7%,29.7%,0.0%,5.4%,2.7%,2.7%,35.1%,37
ALL,17.9%,6.4%,6.6%,13.0%,7.2%,13.4%,0.6%,34.8%,486
