Solar PV — Escalation ratio,commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,43% (n=81),17% (n=82),20% (n=295),32% (n=63),6% (n=102),23% (n=106),27% (n=64),,22% (n=793)
PROCUREMENT,40% (n=72),18% (n=111),30% (n=112),43% (n=44),6% (n=33),27% (n=176),32% (n=40),,28% (n=588)
CONSTRUCTION,50% (n=10),15% (n=40),14% (n=22),27% (n=11),n=8,22% (n=148),n=7,,21% (n=246)
SOFTWARE_CONTROLS,10% (n=10),6% (n=71),27% (n=86),27% (n=26),12% (n=152),14% (n=36),22% (n=115),,17% (n=496)
GRID_CONNECTION,41% (n=58),23% (n=86),41% (n=63),40% (n=130),25% (n=79),17% (n=12),28% (n=64),,33% (n=492)
INTEGRATION_COMMISSIONING,n=8,15% (n=96),36% (n=39),72% (n=18),12% (n=41),28% (n=53),23% (n=103),,24% (n=358)
SITING,29% (n=24),19% (n=27),18% (n=65),28% (n=36),0% (n=22),20% (n=104),n=4,,20% (n=282)
COMMUNITY_ENGAGEMENT,32% (n=34),10% (n=103),n=1,44% (n=16),n=4,0% (n=10),n=0,,17% (n=168)
FINANCING,49% (n=170),15% (n=66),n=7,46% (n=41),8% (n=24),47% (n=17),n=1,,38% (n=326)
OPERATIONS,49% (n=39),16% (n=44),21% (n=114),45% (n=11),8% (n=78),23% (n=53),31% (n=16),,22% (n=355)
ALL,43% (n=284),12% (n=377),22% (n=375),38% (n=210),9% (n=265),22% (n=310),25% (n=160),,23% (n=1981)
