Solar PV — Occurrence (count),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,86,82,301,63,104,107,64,277,1085
PROCUREMENT,73,111,114,44,34,177,40,148,741
CONSTRUCTION,10,40,22,11,8,148,7,57,304
SOFTWARE_CONTROLS,11,71,89,26,155,36,115,153,656
GRID_CONNECTION,64,86,64,130,81,12,64,139,640
INTEGRATION_COMMISSIONING,8,97,39,18,42,53,104,100,462
SITING,25,27,65,36,23,105,5,64,351
COMMUNITY_ENGAGEMENT,35,103,1,16,4,10,0,57,226
FINANCING,181,66,7,41,24,17,1,100,437
OPERATIONS,42,44,116,11,82,53,16,178,542
ALL,297,379,382,210,271,311,161,707,2720
