Solar PV — Occurrence (%),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,7.9%,7.6%,27.7%,5.8%,9.6%,9.9%,5.9%,25.5%,1085
PROCUREMENT,9.9%,15.0%,15.4%,5.9%,4.6%,23.9%,5.4%,20.0%,741
CONSTRUCTION,3.3%,13.2%,7.2%,3.6%,2.6%,48.7%,2.3%,18.8%,304
SOFTWARE_CONTROLS,1.7%,10.8%,13.6%,4.0%,23.6%,5.5%,17.5%,23.3%,656
GRID_CONNECTION,10.0%,13.4%,10.0%,20.3%,12.7%,1.9%,10.0%,21.7%,640
INTEGRATION_COMMISSIONING,1.7%,21.0%,8.4%,3.9%,9.1%,11.5%,22.5%,21.6%,462
SITING,7.1%,7.7%,18.5%,10.3%,6.6%,29.9%,1.4%,18.2%,351
COMMUNITY_ENGAGEMENT,15.5%,45.6%,0.4%,7.1%,1.8%,4.4%,0.0%,25.2%,226
FINANCING,41.4%,15.1%,1.6%,9.4%,5.5%,3.9%,0.2%,22.9%,437
OPERATIONS,7.7%,8.1%,21.4%,2.0%,15.1%,9.8%,3.0%,32.8%,542
ALL,10.9%,13.9%,14.0%,7.7%,10.0%,11.4%,5.9%,26.0%,2720
