Solar thermal — Escalation ratio,commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,68% (n=22),27% (n=11),22% (n=58),0% (n=10),0% (n=14),25% (n=24),n=8,,28% (n=147)
PROCUREMENT,58% (n=19),15% (n=13),29% (n=17),n=3,n=6,24% (n=33),n=1,,28% (n=92)
CONSTRUCTION,n=1,n=6,n=3,n=0,n=0,19% (n=27),n=0,,19% (n=37)
SOFTWARE_CONTROLS,n=1,n=0,25% (n=12),n=0,n=1,n=3,n=5,,27% (n=22)
GRID_CONNECTION,n=4,n=4,n=0,38% (n=13),n=3,n=1,n=2,,26% (n=27)
INTEGRATION_COMMISSIONING,n=1,n=5,n=7,n=1,n=1,n=6,n=8,,31% (n=29)
SITING,n=6,n=4,n=8,0% (n=13),n=5,7% (n=14),n=0,,12% (n=50)
COMMUNITY_ENGAGEMENT,n=1,n=7,n=0,n=4,n=0,n=1,n=0,,15% (n=13)
FINANCING,65% (n=31),n=6,n=2,n=4,n=7,n=1,n=0,,51% (n=51)
OPERATIONS,n=2,n=2,21% (n=14),n=0,n=4,n=7,n=1,,20% (n=30)
ALL,62% (n=45),22% (n=27),22% (n=64),23% (n=26),0% (n=21),19% (n=52),42% (n=12),,28% (n=247)
