Solar thermal — Occurrence (count),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,23,11,59,10,14,24,8,73,223
PROCUREMENT,19,13,17,3,6,33,1,28,120
CONSTRUCTION,1,6,3,0,0,27,0,9,46
SOFTWARE_CONTROLS,1,0,13,0,1,3,5,7,30
GRID_CONNECTION,4,4,0,13,3,1,2,9,36
INTEGRATION_COMMISSIONING,1,5,7,1,1,6,9,11,42
SITING,6,4,8,13,5,14,1,21,72
COMMUNITY_ENGAGEMENT,1,7,0,4,0,1,0,14,27
FINANCING,32,6,2,4,7,1,0,22,74
OPERATIONS,2,2,14,0,4,7,1,17,47
ALL,46,27,65,26,21,52,13,114,365
