Solar thermal — Occurrence (%),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,10.3%,4.9%,26.5%,4.5%,6.3%,10.8%,3.6%,32.7%,223
PROCUREMENT,15.8%,10.8%,14.2%,2.5%,5.0%,27.5%,0.8%,23.3%,120
CONSTRUCTION,2.2%,13.0%,6.5%,0.0%,0.0%,58.7%,0.0%,19.6%,46
SOFTWARE_CONTROLS,3.3%,0.0%,43.3%,0.0%,3.3%,10.0%,16.7%,23.3%,30
GRID_CONNECTION,11.1%,11.1%,0.0%,36.1%,8.3%,2.8%,5.6%,25.0%,36
INTEGRATION_COMMISSIONING,2.4%,11.9%,16.7%,2.4%,2.4%,14.3%,21.4%,26.2%,42
SITING,8.3%,5.6%,11.1%,18.1%,6.9%,19.4%,1.4%,29.2%,72
COMMUNITY_ENGAGEMENT,3.7%,25.9%,0.0%,14.8%,0.0%,3.7%,0.0%,51.9%,27
FINANCING,43.2%,8.1%,2.7%,5.4%,9.5%,1.4%,0.0%,29.7%,74
OPERATIONS,4.3%,4.3%,29.8%,0.0%,8.5%,14.9%,2.1%,36.2%,47
ALL,12.6%,7.4%,17.8%,7.1%,5.8%,14.2%,3.6%,31.2%,365
