Wind — Escalation ratio,commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,17% (n=12),n=9,11% (n=47),n=8,7% (n=29),10% (n=20),18% (n=22),,12% (n=147)
PROCUREMENT,n=7,14% (n=14),9% (n=11),n=3,n=9,21% (n=33),38% (n=13),,20% (n=90)
CONSTRUCTION,n=1,n=1,n=0,n=1,n=1,17% (n=18),n=0,,14% (n=22)
SOFTWARE_CONTROLS,n=7,6% (n=31),18% (n=40),0% (n=10),3% (n=59),12% (n=16),20% (n=40),,11% (n=203)
GRID_CONNECTION,0% (n=21),8% (n=24),26% (n=19),5% (n=20),0% (n=25),n=8,26% (n=31),,11% (n=148)
INTEGRATION_COMMISSIONING,n=1,5% (n=22),40% (n=10),n=4,0% (n=14),18% (n=17),15% (n=26),,14% (n=94)
SITING,n=2,n=4,n=4,n=1,0% (n=11),18% (n=17),n=0,,13% (n=39)
COMMUNITY_ENGAGEMENT,n=2,n=6,n=0,n=0,n=0,n=0,n=0,,n=8
FINANCING,29% (n=28),n=4,n=1,n=3,n=4,n=3,n=1,,23% (n=44)
OPERATIONS,0% (n=12),7% (n=14),9% (n=23),n=4,0% (n=17),15% (n=13),n=7,,6% (n=90)
ALL,18% (n=44),8% (n=53),15% (n=73),8% (n=24),4% (n=83),16% (n=58),20% (n=54),,12% (n=389)
