Wind — Occurrence (count),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,12,9,48,9,29,21,22,42,192
PROCUREMENT,7,14,11,3,9,34,13,17,108
CONSTRUCTION,1,1,0,1,1,18,0,7,29
SOFTWARE_CONTROLS,7,31,42,10,61,16,40,60,267
GRID_CONNECTION,21,24,20,21,27,8,31,34,186
INTEGRATION_COMMISSIONING,1,22,10,4,15,17,26,21,116
SITING,2,4,4,1,11,18,0,17,57
COMMUNITY_ENGAGEMENT,2,6,0,0,0,0,0,4,12
FINANCING,28,4,1,3,4,3,1,10,54
OPERATIONS,12,14,23,4,18,13,7,37,128
ALL,44,53,75,25,85,59,54,115,510
