Wind — Occurrence (%),commercial & market,coordination & stakeholders,technical underperformance,regulatory & approvals,data & measurement,execution & logistics,unvalidated integration,no major failure stated,ALL
DESIGN,6.2%,4.7%,25.0%,4.7%,15.1%,10.9%,11.5%,21.9%,192
PROCUREMENT,6.5%,13.0%,10.2%,2.8%,8.3%,31.5%,12.0%,15.7%,108
CONSTRUCTION,3.4%,3.4%,0.0%,3.4%,3.4%,62.1%,0.0%,24.1%,29
SOFTWARE_CONTROLS,2.6%,11.6%,15.7%,3.7%,22.8%,6.0%,15.0%,22.5%,267
GRID_CONNECTION,11.3%,12.9%,10.8%,11.3%,14.5%,4.3%,16.7%,18.3%,186
INTEGRATION_COMMISSIONING,0.9%,19.0%,8.6%,3.4%,12.9%,14.7%,22.4%,18.1%,116
SITING,3.5%,7.0%,7.0%,1.8%,19.3%,31.6%,0.0%,29.8%,57
COMMUNITY_ENGAGEMENT,16.7%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,12
FINANCING,51.9%,7.4%,1.9%,5.6%,7.4%,5.6%,1.9%,18.5%,54
OPERATIONS,9.4%,10.9%,18.0%,3.1%,14.1%,10.2%,5.5%,28.9%,128
ALL,8.6%,10.4%,14.7%,4.9%,16.7%,11.6%,10.6%,22.5%,510
