Title,Publish date,Category,Associated project name,Link to item,Type,Link to project page,Year,Project Status
Fortescue Solar Innovation Hub - Milestone 1 report,5/03/2026,"Large-scale solar, Solar energy",Fortescue Solar Innovation Hub,https://arena.gov.au/knowledge-bank/fortescue-solar-innovation-hub-milestone-1-report/,Milestones,https://arena.gov.au/projects/fortescue-solar-innovation-hub/,2025,Current
Curtin University ' Hydrogen export using a powder project ' Core Research Interim Report,19/02/2026,Hydrogen energy,Hydrogen export using a powder project,https://arena.gov.au/knowledge-bank/curtin-university-hydrogen-export-using-a-powder-project-core-research-interim-report/,Reports,https://arena.gov.au/projects/hydrogen-export-using-a-powder-project/,2024,Current
Origin - Mortlake Power Station Battery Project - Development and Grid Connection Report,19/02/2026,Battery storage,Origin Energy Mortlake Power Station Battery,https://arena.gov.au/knowledge-bank/origin-mortlake-power-station-battery-project-development-and-grid-connection-report/,Reports,https://arena.gov.au/projects/origin-energy-mortlake-power-station-battery/,2024,Current
Lochard Energy H2RESTORE Feasibility Study,18/02/2026,Hydrogen energy,Lochard Energy H2RESTORE Feasibility Study,https://arena.gov.au/knowledge-bank/lochard-energy-h2restore-feasibility-study/,Reports,https://arena.gov.au/projects/lochard-energy-h2restore-feasibility-study/,2024,Past
SA Power Networks - Energy Masters - Lessons Learnt Report 2,16/02/2026,Demand response,SA Power Networks - Electrification and Demand Flexibility,https://arena.gov.au/knowledge-bank/sa-power-networks-energy-masters-lessons-learnt-report-2/,Reports,https://arena.gov.au/projects/sa-power-networks-electrification-and-demand-flexibility/,2024,Current
DEIP Market Integration Trials Summary Report 3.0,12/02/2026,Distributed energy resources,,https://arena.gov.au/knowledge-bank/deip-market-integration-trials-summary-report-3-0/,Reports,,,
Stanwell - Central Queensland Hydrogen (CQ-H2) Project FEED study - Public FEED Summary Report,3/02/2026,Hydrogen energy,Central Queensland Hydrogen (CQ-H2) Project FEED study,https://arena.gov.au/knowledge-bank/stanwell-central-queensland-hydrogen-cq-h2-project-feed-study-public-feed-summary-report/,Reports,https://arena.gov.au/projects/central-queensland-hydrogen-cq-h2-project-feed-study/,2023,Past
Fortescue - Low Temp Direct Electrochemical Reduction for Zero Emissions Iron - Core Research Final Report,27/01/2026,Renewables for industry,Fortescue - low temperature direct electrochemical reduction for zero emissions iron,https://arena.gov.au/knowledge-bank/fortescue-low-temp-direct-electrochemical-reduction-for-zero-emissions-iron-core-research-final-report/,Reports,https://arena.gov.au/projects/fortescue-low-temperature-direct-electrochemical-reduction-for-zero-emissions-iron-project/,2024,Past
Rio Tinto and Sumitomo - Yarwun Hydrogen Calcination Pilot Demonstration Program - Lessons Learnt Report 6,27/01/2026,Hydrogen energy,Yarwun Hydrogen Calcination Pilot Demonstration Program,https://arena.gov.au/knowledge-bank/rio-tinto-and-sumitomo-yarwun-hydrogen-calcination-pilot-demonstration-program-lessons-learnt-report-6/,"Reports, Lessons",https://arena.gov.au/projects/yarwun-hydrogen-calcination-pilot-demonstration-program/,2023,Current
Fortescue - Low Temp Direct Electrochemical Reduction for Zero Emissions Iron - Research Poster n2,27/01/2026,Renewables for industry,Fortescue - low temperature direct electrochemical reduction for zero emissions iron,https://arena.gov.au/knowledge-bank/fortescue-low-temp-direct-electrochemical-reduction-for-zero-emissions-iron-research-poster-n2/,Reports,https://arena.gov.au/projects/fortescue-low-temperature-direct-electrochemical-reduction-for-zero-emissions-iron-project/,2024,Past
